Biograf;By;Forestillingstidspunkt;Filmtitel;Filmgenre;Filmvarighed;Filminstruktør;Premieredato;Bookingmail;Bookingtelefonnummer
Cinemaxx;Odense;2020-04-03 21:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;djupedal@live.com;94816860
Cinemaxx;Odense;2020-06-05 15:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;miltchev@yahoo.com;48560738
Cinemaxx;Odense;2020-08-07 19:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;dmath@comcast.net;13877584
Cinemaxx;Århus;2020-05-20 19:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;jkegl@verizon.net;79908480
Cinemaxx;Århus;2020-01-10 21:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;speeves@aol.com;77161028
Nordisk Film;Odense;2020-05-20 15:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;jbailie@outlook.com;91982260
Nordisk Film;Odense;2020-08-07 19:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;cderoove@icloud.com;18406306
Nordisk Film;Odense;2020-08-07 19:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;flavell@gmail.com;45352069
Nordisk Film;Århus;2020-05-20 19:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;scato@icloud.com;71080278
Nordisk Film;Århus;2020-01-10 21:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;2020-01-10;mallanmba@yahoo.ca;95597338
Cinemaxx;Odense;2019-04-05 19:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;bwcarty@comcast.net;78603148
Cinemaxx;Odense;2019-01-01 21:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;kramulous@yahoo.com;45373471
Cinemaxx;Odense;2018-11-30 15:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;alias@aol.com;98447997
Cinemaxx;Århus;2019-04-05 19:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;malattia@icloud.com;31439399
Cinemaxx;Århus;2019-01-01 21:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;moxfulder@optonline.net;14559186
Nordisk Film;Odense;2018-11-30 15:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;jamuir@comcast.net;23573418
Nordisk Film;Odense;2019-02-12 21:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;heckerman@gmail.com;17971024
Nordisk Film;Odense;2018-12-12 21:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;dgriffith@msn.com;63024480
Nordisk Film;Århus;2018-12-26 19:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;elflord@hotmail.com;80941308
Nordisk Film;Århus;2019-05-02 15:00;The Wife;Drama;01:39; Björn Runge;2018-11-27;bmorrow@comcast.net;40462260
Cinemaxx;Odense;2019-12-01 19:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;durist@sbcglobal.net;72879172
Cinemaxx;Odense;2019-12-01 19:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;demmel@hotmail.com;10650545
Cinemaxx;Odense;2019-12-01 19:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;miltchev@me.com;85540697
Cinemaxx;Århus;2019-11-15 21:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;eimear@icloud.com;23860147
Cinemaxx;Århus;2019-11-15 21:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;gtaylor@mac.com;65236201
Nordisk Film;Odense;2019-11-15 21:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;jusdisgi@yahoo.ca;56924579
Nordisk Film;Odense;2019-11-15 21:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;fukuchi@live.com;39221607
Nordisk Film;Odense;2019-12-23 15:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;paina@icloud.com;12428941
Nordisk Film;Århus;2019-12-23 15:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;tjensen@yahoo.ca;71817409
Nordisk Film;Århus;2019-12-23 15:00;Ayka;Drama;01:40;Sergei Dvortsevoy;2019-11-07;muadip@sbcglobal.net;56800833
Cinemaxx;Odense;2019-04-05 19:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;thowell@live.com;93755908
Cinemaxx;Odense;2019-01-01 21:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;dbindel@mac.com;92059231
Cinemaxx;Odense;2018-11-30 15:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;kassiesa@me.com;81876567
Cinemaxx;Århus;2019-04-05 19:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;nichoj@me.com;40940316
Cinemaxx;Århus;2019-01-01 21:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;imightb@me.com;16706901
Nordisk Film;Odense;2018-11-30 15:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;camenisch@yahoo.com;35024212
Nordisk Film;Odense;2019-02-12 21:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;bulletin@yahoo.com;68533628
Nordisk Film;Odense;2018-12-12 21:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;tedrlord@verizon.net;60351922
Nordisk Film;Århus;2018-12-26 19:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;ngedmond@att.net;23716329
Nordisk Film;Århus;2019-05-02 15:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;2018-11-02;aglassis@gmail.com;40037990
Cinemaxx;Odense;2017-12-25 19:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;ideguy@icloud.com;53029064
Cinemaxx;Odense;2018-01-02 21:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;ngedmond@aol.com;57519890
Cinemaxx;Odense;2018-01-03 21:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;khris@hotmail.com;33417420
Cinemaxx;Århus;2017-12-25 19:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;scarlet@hotmail.com;19245648
Cinemaxx;Århus;2018-02-05 15:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;gknauss@live.com;54080732
Nordisk Film;Odense;2018-02-05 15:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;paina@verizon.net;21775017
Nordisk Film;Odense;2017-12-25 19:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;fraser@live.com;69980814
Nordisk Film;Odense;2018-02-05 15:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;hling@yahoo.com;79234643
Nordisk Film;Århus;2017-12-25 19:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;pplinux@comcast.net;27899076
Nordisk Film;Århus;2017-12-26 19:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;hampton@sbcglobal.net;78365253
Cinemaxx;Odense;2019-12-01 19:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;ubergeeb@gmail.com;45782606
Cinemaxx;Odense;2019-12-01 19:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;jmmuller@msn.com;70442232
Cinemaxx;Odense;2019-12-01 19:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;thaljef@mac.com;49807733
Cinemaxx;Århus;2019-11-15 21:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;pgolle@live.com;69593061
Cinemaxx;Århus;2019-11-15 21:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;trygstad@optonline.net;32049093
Nordisk Film;Odense;2019-11-15 21:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;monopole@verizon.net;17631511
Nordisk Film;Odense;2019-11-15 21:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;parrt@att.net;85501560
Nordisk Film;Odense;2019-12-23 15:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;errxn@icloud.com;77010215
Nordisk Film;Århus;2019-12-23 15:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;ducasse@verizon.net;25666320
Nordisk Film;Århus;2019-12-23 15:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;falcao@outlook.com;72691152
Cinemaxx;Odense;2017-07-22 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;webinc@att.net;84961907
Cinemaxx;Odense;2017-07-23 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;kenja@comcast.net;28751217
Cinemaxx;Odense;2017-07-24 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;boftx@mac.com;59006266
Cinemaxx;Århus;2017-07-25 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;formis@gmail.com;82613462
Cinemaxx;Århus;2017-07-22 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;jfriedl@hotmail.com;72805770
Nordisk Film;Odense;2017-07-23 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;houle@live.com;25078517
Nordisk Film;Odense;2017-07-24 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;smcnabb@outlook.com;34872134
Nordisk Film;Odense;2017-07-22 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;dleconte@me.com;80798088
Nordisk Film;Århus;2017-07-23 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;daveed@yahoo.ca;66647808
Nordisk Film;Århus;2017-07-24 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;luebke@yahoo.com;69383771
Cinemaxx;Odense;2019-04-05 19:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;cliffski@comcast.net;84523603
Cinemaxx;Odense;2019-01-01 21:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;flaviog@hotmail.com;61368923
Cinemaxx;Odense;2018-11-30 15:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;thrymm@msn.com;13570508
Cinemaxx;Århus;2019-04-05 19:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;osaru@mac.com;85983446
Cinemaxx;Århus;2019-01-01 21:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;shaffei@optonline.net;47047274
Nordisk Film;Odense;2018-11-30 15:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;khris@hotmail.com;77458806
Nordisk Film;Odense;2019-02-12 21:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;wbarker@att.net;56644133
Nordisk Film;Odense;2018-12-12 21:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;cameron@optonline.net;87268962
Nordisk Film;Århus;2018-12-26 19:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;nanop@hotmail.com;90108943
Nordisk Film;Århus;2019-05-02 15:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;timlinux@yahoo.ca;24409174
Cinemaxx;Odense;2019-05-01 19:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;gospodin@optonline.net;98956772
Cinemaxx;Odense;2019-05-01 19:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;kmiller@yahoo.com;69839959
Cinemaxx;Odense;2019-05-01 19:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;leocharre@aol.com;54137588
Cinemaxx;Århus;2019-04-30 21:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;agolomsh@yahoo.com;95055850
Cinemaxx;Århus;2019-05-05 19:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;cumarana@optonline.net;37794677
Nordisk Film;Odense;2019-05-01 19:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;shang@sbcglobal.net;73558072
Nordisk Film;Odense;2019-05-29 21:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;rfisher@icloud.com;20680286
Nordisk Film;Odense;2019-05-29 21:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;dimensio@optonline.net;71714594
Nordisk Film;Århus;2019-05-29 21:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;gavinls@comcast.net;51718074
Nordisk Film;Århus;2019-04-30 21:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;mschwartz@live.com;71154222
Cinemaxx;Odense;2019-05-01 19:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;yangyan@yahoo.com;41919090
Cinemaxx;Odense;2019-05-01 19:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;tromey@msn.com;50946127
Cinemaxx;Odense;2019-05-01 19:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;ramollin@hotmail.com;25423648
Cinemaxx;Århus;2019-04-30 21:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;mrdvt@att.net;70305597
Cinemaxx;Århus;2019-05-05 19:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;crypt@yahoo.com;66562566
Nordisk Film;Odense;2019-05-01 19:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;penna@hotmail.com;88981434
Nordisk Film;Odense;2019-05-29 21:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;kobayasi@yahoo.com;98605736
Nordisk Film;Odense;2019-05-29 21:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;dkrishna@aol.com;95936682
Nordisk Film;Århus;2019-05-29 21:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;jipsen@att.net;48557445
Nordisk Film;Århus;2019-04-30 21:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;scitext@outlook.com;99069939
Cinemaxx;Odense;2019-12-07 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;oster@sbcglobal.net;20925215
Cinemaxx;Odense;2019-12-08 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;rcwil@aol.com;34314697
Cinemaxx;Odense;2019-12-09 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;nogin@verizon.net;73835126
Cinemaxx;Århus;2019-12-10 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;jbarta@icloud.com;22095188
Cinemaxx;Århus;2019-12-11 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;trygstad@verizon.net;19273615
Nordisk Film;Odense;2019-12-07 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;mcrawfor@gmail.com;74852145
Nordisk Film;Odense;2019-12-08 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;forsberg@msn.com;67319619
Nordisk Film;Odense;2019-12-09 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;stellaau@outlook.com;37998925
Nordisk Film;Århus;2019-12-10 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;floxy@sbcglobal.net;96704280
Nordisk Film;Århus;2019-12-11 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;rhavyn@msn.com;40707062
Cinemaxx;Odense;2019-10-04 21:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;pajas@comcast.net;63686486
Cinemaxx;Odense;2019-10-04 19:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;ralamosm@live.com;79808588
Cinemaxx;Odense;2019-10-04 17:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;stevelim@comcast.net;16066473
Cinemaxx;Århus;2019-10-04 15:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;sriha@comcast.net;54831109
Cinemaxx;Århus;2019-10-04 13:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;kenja@optonline.net;48575566
Nordisk Film;Odense;2019-10-04 21:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;demmel@verizon.net;15127824
Nordisk Film;Odense;2019-10-04 19:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;curly@msn.com;71936310
Nordisk Film;Odense;2019-10-04 17:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;lipeng@mac.com;30424281
Nordisk Film;Århus;2019-10-04 15:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;tubesteak@yahoo.com;38560082
